"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"17/11/25","Global Business Solution","NOV25/076PO/SCM/43","","15/02/26","76.Moynamoti Hatchery Ltd. Binondiarchar","ITEM","COMPUTER ITEM","Toner 325","4.0","4.0","NO (S)","3,000.00","15/02/26","0.00","0.00","0.00","0.00","3000.0","Global Business Solution","-","14,125.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Global Business Solution","NOV25/076PO/SCM/43","","15/02/26","76.Moynamoti Hatchery Ltd. Binondiarchar","ITEM","COMPUTER ITEM","Ribon For Epson LQ310","5.0","5.0","NO (S)","425.00","15/02/26","0.00","0.00","0.00","0.00","425.0","Global Business Solution","-","14,125.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Global Business Solution","NOV25/076PO/SCM/44","","15/02/26","76.Moynamoti Hatchery Ltd. Binondiarchar","ITEM","ASSETS","Network Camera 2 MP","3.0","3.0","NO(S)","5,500.00","15/02/26","0.00","0.00","0.00","0.00","6200.0","ASIAN TECHNOLOGIES LTD.","-","16,500.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Local Purchase - (SCM only)","NOV25/040PO/SCM/25","CS","18/12/25","40.Jessore Feed Ltd. Hatchery Bashundia","ITEM","Lubricants and Fuel","Fire Wood","2,000.0","2,000.0","Kg.","5.80","13/11/26","0.00","0.00","0.00","0.00","5.0","Local Purchase - (SCM only)","-","11,600.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Local Purchase - (SCM only)","NOV25/074PO/SCM/15","","18/12/25","74.Shalbahan Farms Ltd. Hatchery Sirajganj","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","12,340.00","18/12/25","0.00","0.00","0.00","0.00","0.0","-","-","12,340.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Nitol Motors Ltd CSD","NOV25/085PO/SCM/9","CS","18/12/25","85.Aqua Breeders Ltd Hatchery Tetulia","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","65,352.00","18/12/25","0.00","0.00","0.00","0.00","0.0","-","-","65,352.00","pending","Delivered","No","","","","","","","",""
"19/11/25","UNITY MOTORS","NOV25/007PO/SCM/32","cs","19/12/25","07.Paragon Poultry Ltd. Hatchery Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","1,03,000.00","19/12/25","0.00","0.00","0.00","0.00","0.0","-","-","1,03,000.00","pending","Delivered","No","","","","","","","",""
"19/11/25","BRTA","NOV25/007PO/SCM/33","","27/02/26","07.Paragon Poultry Ltd. Hatchery Baniarchala","SERVICE","Registration &amp; Renewals Expense","Govt. AIT for Car","1.0","1.0","No.","30,000.00","03/01/26","0.00","0.00","0.00","0.00","0.0","-","-","61,563.00","pending","Delivered","No","","","","","","","",""
"19/11/25","BRTA","NOV25/007PO/SCM/33","","27/02/26","07.Paragon Poultry Ltd. Hatchery Baniarchala","SERVICE","Registration &amp; Renewals Expense","Payment Against Contribution to Financial Assistance Fund (BRTA)","1.0","1.0","No.","1,783.00","03/01/26","0.00","0.00","0.00","0.00","0.0","-","-","61,563.00","pending","Delivered","No","","","","","","","",""
"19/11/25","BRTA","NOV25/007PO/SCM/33","","27/02/26","07.Paragon Poultry Ltd. Hatchery Baniarchala","SERVICE","Registration &amp; Renewals Expense","Tax Token (Renewal)","1.0","1.0","No.","29,780.00","03/01/26","0.00","0.00","0.00","0.00","0.0","-","-","61,563.00","pending","Delivered","No","","","","","","","",""
