"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"02/11/25","MUSA-ALI SEWING CENTER","NOV25/078PO/SCM/5","","02/12/25","78.Parasole Footwear Ltd. Gazirchot","ITEM","Sewing Machine","Shuttle Hook Pattern Sewing Machine","15.0","15.0","NO (S)","1,450.00","29/08/26","0.00","0.00","0.00","0.00","3640.0","A.B.C STORE","-","21,750.00","pending","Delivered","No","","","","","","","",""
"03/11/25","Sanwang Colour Company Ltd","NOV25/078PO/SCM/22","CS","03/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Screen Print Color PVC Black","677.0","677.0","kg","1,000.00","03/03/26","0.00","0.00","0.00","0.00","1000.0","Sanwang Colour Company Ltd","-","6,77,000.00","pending","Delivered","No","","","","","","","",""
"03/11/25","Sanwang Colour Company Ltd","NOV25/078PO/SCM/23","CS","03/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Screen Print Color PVC Silver","660.0","660.0","kg","1,800.00","03/03/26","0.00","0.00","0.00","0.00","1800.0","Sanwang Colour Company Ltd","-","12,62,000.00","pending","Delivered","No","","","","","","","",""
"03/11/25","Sanwang Colour Company Ltd","NOV25/078PO/SCM/23","CS","03/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Screen Print Color PVC White","74.0","74.0","kg","1,000.00","03/03/26","0.00","0.00","0.00","0.00","1000.0","Sanwang Colour Company Ltd","-","12,62,000.00","pending","Delivered","No","","","","","","","",""
"03/11/25","Saad Enterprise","NOV25/078PO/SCM/24","CS","03/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Primer Brush","500.0","500.0","NO (S)","12.00","03/03/26","0.00","0.00","0.00","0.00","12.0","Saad Enterprise","-","6,000.00","pending","Delivered","No","","","","","","","",""
"03/11/25","B.H&amp;S. ACCESSORIES","NOV25/078PO/SCM/30","Prod.Items","13/02/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Label Diff Type","41,215.0","41,215.0","NO (S)","1.30","03/03/26","0.00","0.00","0.00","0.00","1.4882000141828884","Fujian Uptop Trading Co. Ltd","-","53,579.50","pending","Delivered","No","","","","","","","",""
"04/11/25","S S Trading","NOV25/078PO/SCM/41","CS","04/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Invisible Ink UV","70.0","70.0","kg","3,800.00","04/03/26","0.00","0.00","0.00","0.00","3800.0","S S Trading","-","2,66,000.00","pending","Delivered","No","","","","","","","",""
"04/11/25","Sanwang Colour Company Ltd","NOV25/078PO/SCM/42","CS","04/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Screen Print Color PVC Silver","100.0","100.0","kg","1,800.00","04/03/26","0.00","0.00","0.00","0.00","1800.0","Sanwang Colour Company Ltd","-","1,80,000.00","pending","Delivered","No","","","","","","","",""
"04/11/25","S S Trading","NOV25/078PO/SCM/43","CS","04/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Invisible Ink UV","57.0","57.0","kg","3,800.00","04/03/26","0.00","0.00","0.00","0.00","3800.0","S S Trading","-","2,16,600.00","pending","Delivered","No","","","","","","","",""
"05/11/25","MUSA-ALI SEWING CENTER","NOV25/078PO/SCM/45","","05/12/25","78.Parasole Footwear Ltd. Gazirchot","ITEM","Sewing Machine","Screw For Pattern Sewing Machine Part No-02000004","10.0","10.0","NO (S)","150.00","01/09/26","0.00","0.00","0.00","0.00","0.0","-","-","1,500.00","pending","Delivered","No","","","","","","","",""
"05/11/25","ARAF SEWING CENTER","NOV25/078PO/SCM/47","","05/12/25","78.Parasole Footwear Ltd. Gazirchot","ITEM","Sewing Machine","Needle Bar For Non-Advance Sewing Machine Model-HH-4530G","6.0","6.0","NO (S)","220.00","01/09/26","0.00","0.00","0.00","0.00","0.0","-","-","1,320.00","pending","Delivered","No","","","","","","","",""
"05/11/25","YoungmaoBd Laser Service Co., Ltd","NOV25/078PO/SCM/48","Job work","05/03/26","78.Parasole Footwear Ltd. Gazirchot","SERVICE","Repair &amp; Maintenance Expense","Service Charge For Footwear Outsourcing Work","20,000.0","20,000.0","No.","25.00","28/08/26","0.00","0.00","0.00","0.00","0.0","-","-","5,00,000.00","pending","Delivered","No","","","","","","","",""
"05/11/25","M.S Laser Cutting","NOV25/078PO/SCM/49","Job work","05/03/26","78.Parasole Footwear Ltd. Gazirchot","SERVICE","Repair &amp; Maintenance Expense","Service Charge For Footwear Outsourcing Work","1,000.0","1,000.0","No.","16.00","06/08/26","0.00","0.00","0.00","0.00","0.0","-","-","16,000.00","pending","Delivered","No","","","","","","","",""
"06/11/25","ZIPPY &amp; WHIZ","NOV25/078PO/SCM/52","CS","06/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Glass Knife","14.0","14.0","NO (S)","1,850.00","06/03/26","0.00","0.00","0.00","0.00","1850.0","ZIPPY &amp; WHIZ","-","49,900.00","pending","Delivered","No","","","","","","","",""
"06/11/25","ZIPPY &amp; WHIZ","NOV25/078PO/SCM/52","CS","06/03/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Strap Glass Knife","12.0","12.0","NO (S)","2,000.00","06/03/26","0.00","0.00","0.00","0.00","2000.0","ZIPPY &amp; WHIZ","-","49,900.00","pending","Delivered","No","","","","","","","",""
"06/11/25","Foshan Quanyi Shoe Making Machine Co., Ltd.","NOV25/078PO/SCM/56","","06/12/25","78.Parasole Footwear Ltd. Gazirchot","ITEM","Sewing Machine","Pattern Sewing Machine Pressure Foot 2mm Model-SI-3525","30.0","30.0","NO (S)","300.00","02/09/26","0.00","0.00","0.00","0.00","300.0","Local Purchase - (SCM only)","-","44,000.00","pending","Delivered","No","","","","","","","",""
"06/11/25","Foshan Quanyi Shoe Making Machine Co., Ltd.","NOV25/078PO/SCM/56","","06/12/25","78.Parasole Footwear Ltd. Gazirchot","ITEM","Sewing Machine","Sewing Needle Ball Point 18/110 (DPX17KK)","1,000.0","1,000.0","NO (S)","35.00","02/09/26","0.00","0.00","0.00","0.00","40.0","Local Purchase - (SCM only)","-","44,000.00","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","PU Diff Types","3,371.0","3,371.0","MTR","314.79","05/09/26","0.00","0.00","0.00","0.00","327.40399804257396","Fujian Uptop Trading Co. Ltd","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Nylon Mesh Diff Types","11,435.0","11,435.0","YARD","99.50","05/09/26","0.00","0.00","0.00","0.00","98.4975","Xiamen Bestway Import And Export Co.Ltd","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Insole Board diff. Types","1,705.0","1,705.0","YARD","85.28","05/09/26","0.00","0.00","0.00","0.00","263.12479087452476","XIAMEN HAIYV SUPPLY CHAIN MANAGEMENT Co.LTD","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Hanger","44,550.0","44,550.0","PCS","7.11","05/09/26","0.00","0.00","0.00","0.00","5.598399636693915","XIAMEN HAIYV SUPPLY CHAIN MANAGEMENT Co.LTD","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Fabric lining diff. Types","2,053.0","2,053.0","YARD","71.07","05/09/26","0.00","0.00","0.00","0.00","74.41","Fujian Uptop Trading Co. Ltd","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Elastic Diff Types","16,038.0","16,038.0","YARD","1.42","05/09/26","0.00","0.00","0.00","0.00","1.488200009394523","Fujian Uptop Trading Co. Ltd","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
"09/11/25","Fujian Uptop Trading Co. Ltd","NOV25/078PO/SCM/67","LC no 308525160121","05/09/26","78.Parasole Footwear Ltd. Gazirchot","ITEM","Footware Items","Anti Mold Agent (Chip)","44,168.0","44,168.0","PCS","4.26","05/09/26","0.00","0.00","0.00","0.00","4.464599974507138","Fujian Uptop Trading Co. Ltd","-","1,50,49,031.73","pending","Delivered","No","","","","","","","",""
