"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"03/11/25","MS ABDULLAH FILLING STATION","NOV25/047PO/SCM/6","Fuel","03/12/25","47.Rangpur Poultry Ltd. Feed Division Kaydahara","ITEM","Lubricants and Fuel","Diesel","9,000.0","9,000.0","LTR","102.70","03/11/26","0.00","0.00","0.00","0.00","99.0","MAHADI ENTERPRISE (PVT) CO LTD","-","9,24,300.00","pending","Delivered","No","","","","","","","",""
"05/11/25","MS ABDULLAH FILLING STATION","NOV25/047PO/SCM/21","Fuel","05/12/25","47.Rangpur Poultry Ltd. Feed Division Kaydahara","ITEM","Lubricants and Fuel","Diesel (Vehicle)","6,070.0","6,070.0","LTR","102.70","05/11/26","0.00","0.00","0.00","0.00","102.0","Highway Filling Station","-","6,23,389.00","pending","Delivered","No","","","","","","","",""
"10/11/25","Tech Republic","NOV25/148PO/SCM/22","CS","10/12/25","148.PFL (Agro Complex) Feed Div. Nalitabari","ITEM","ASSETS","Online UPS 6KVA","1.0","1.0","NO (S)","1,19,100.00","06/09/26","0.00","0.00","0.00","0.00","94000.0","Update Computer","-","1,43,000.00","pending","Delivered","No","","","","","","","",""
"10/11/25","Tech Republic","NOV25/148PO/SCM/22","CS","10/12/25","148.PFL (Agro Complex) Feed Div. Nalitabari","ITEM","ASSETS","Online UPS 1 KVA","1.0","1.0","NO (S)","23,900.00","06/09/26","0.00","0.00","0.00","0.00","18500.0","Update Computer","-","1,43,000.00","pending","Delivered","No","","","","","","","",""
"13/11/25","Mim Motors","NOV25/001PO/SCM/89","","13/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Repair &amp; Maintenance Expense","Repair and Maintenance For Automobile","1.0","1.0","No.","7,150.00","13/12/25","0.00","0.00","0.00","0.00","0.0","-","-","7,150.00","pending","Delivered","No","","","","","","","",""
"13/11/25","Hossain Automobiles Works","NOV25/001PO/SCM/90","CS","13/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Repair &amp; Maintenance Expense","Repair and Maintenance For Automobile","1.0","1.0","No.","26,450.00","13/12/25","0.00","0.00","0.00","0.00","0.0","-","-","26,450.00","pending","Delivered","No","","","","","","","",""
"13/11/25","Mim Motors","NOV25/019PO/SCM/28","","13/12/25","19.Paragon Feed Ltd. Ashulia","SERVICE","Repair &amp; Maintenance Expense","Repair and Maintenance For Automobile","1.0","1.0","No.","6,050.00","13/12/25","0.00","0.00","0.00","0.00","0.0","-","-","6,050.00","pending","Delivered","No","","","","","","","",""
"15/11/25","Mehek Motors","NOV25/039PO/SCM/45","CS","15/12/25","39.Jessore Feed Ltd. Bashundia","SERVICE","Registration &amp; Renewals Expense","Re-Registration of Conversion (Vehicle)","1.0","1.0","No.","4,300.00","15/12/25","0.00","0.00","0.00","0.00","0.0","-","-","4,300.00","pending","Delivered","No","","","","","","","",""
"16/11/25","Nayon Engineering Workshop","NOV25/019PO/SCM/35","CS","16/12/25","19.Paragon Feed Ltd. Ashulia","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","1,25,200.00","16/03/26","0.00","0.00","0.00","0.00","0.0","-","-","1,25,200.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Ranks Motors Workshop Limited","NOV25/001PO/SCM/118","CS","17/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","29,486.00","17/12/25","0.00","0.00","0.00","0.00","0.0","-","-","29,486.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Global Business Solution","NOV25/019PO/SCM/41","CS","15/02/26","19.Paragon Feed Ltd. Ashulia","ITEM","ASSETS","Epson LQ 310 Printer","1.0","1.0","NO (S)","25,000.00","15/02/26","0.00","0.00","0.00","0.00","25000.0","Global Business Solution","-","25,000.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Local Purchase - (SCM only)","NOV25/047PO/SCM/45","","17/12/25","47.Rangpur Poultry Ltd. Feed Division Kaydahara","SERVICE","Repair &amp; Maintenance Expense","Repair and Maintenance For Automobile","1.0","1.0","No.","7,370.00","17/12/25","0.00","0.00","0.00","0.00","0.0","-","-","7,370.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Local Purchase - (SCM only)","NOV25/047PO/SCM/48","","17/12/25","47.Rangpur Poultry Ltd. Feed Division Kaydahara","SERVICE","Repair &amp; Maintenance Expense","Repair and Maintenance For Automobile","1.0","1.0","No.","9,168.00","17/12/25","0.00","0.00","0.00","0.00","0.0","-","-","9,168.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Nitol Motors Ltd CSD","NOV25/047PO/SCM/49","","17/12/25","47.Rangpur Poultry Ltd. Feed Division Kaydahara","SERVICE","Repair &amp; Maintenance Expense","Repair and Maintenance For Automobile","1.0","1.0","No.","10,720.00","17/12/25","0.00","0.00","0.00","0.00","0.0","-","-","10,720.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Ranks Motors Workshop Limited","NOV25/001PO/SCM/127","CS","18/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","51,110.00","18/12/25","0.00","0.00","0.00","0.00","0.0","-","-","51,110.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Ranks Motors Workshop Limited","NOV25/039PO/SCM/60","CS","18/12/25","39.Jessore Feed Ltd. Bashundia","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","14,562.00","18/12/25","0.00","0.00","0.00","0.00","0.0","-","-","14,562.00","pending","Delivered","No","","","","","","","",""
"18/11/25","NETCONNECT","NOV25/148PO/SCM/66","CS","16/02/26","148.PFL (Agro Complex) Feed Div. Nalitabari","ITEM","ASSETS","ZKTeco Sense Face 2A Access Control Terminal","2.0","2.0","NO (S)","11,500.00","16/02/26","0.00","0.00","0.00","0.00","0.0","-","-","23,000.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/150","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","2,500.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","2,500.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/151","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","3,350.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","3,350.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/152","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","850.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","850.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/153","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","10,540.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","10,540.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/154","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","400.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","400.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/155","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","3,250.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","3,250.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/156","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","500.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","500.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/157","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","2,720.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","2,720.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/158","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","200.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","200.00","pending","Delivered","No","","","","","","","",""
